# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
END	ENDYS GmbH
ENE	ENERDIS	France	Europe
ENG	ENER-G Switch2 Ltd	United Kingdom	Europe
ENH	ENMAS GmbH	Germany	Europe
ENI	entec innovations GmbH	Germany	Europe
ENL	ENEL d.o.o.	Serbia	Europe
ENN	Enernet	South Korea	Asia
ENO	ennovatis GmbH	Germany	Europe
ENP	“Kiev Polytechnical Scientific Research”
ENR	Energisme
ENS	ENSO NETZ GmbH	Germany	Europe
ENT	ENTES Elektronik	Turkey	Middle East
ENX	Enetronx GmbH	Germany	Europe
EPI	EPI-USE AFRICA	South Africa	Africa
EPL	Escorts Pakistan Limited	Pakistan	Asia
ERE	Enermatics Energy (PTY) LTD	South Africa	Africa
ERI	Easun Reyrolle Limited	India	Asia
ERL	Erelsan Elektrik ve Elektronik	Turkey	Middle East
ERN	Ericsson Telecomunicazioni S.p.A	Italy	Europe
ERS	Eurosys OOD	Bulgaria	Europe
ESA	ESAC srl	Italy	Europe
ESC	EDMI (Shenzhen) CO., Ltd	China	Asia
ESE	ESE Nordic AB	Sweden	Europe
ESG	ESG CO.,LTD.	South Korea	Asia
ESI	Monosan Monofaze Elektrik Motorlari	Turkey	Middle East
ESM	Monosan Monofaze Elektrik Motorlari	Turkey	Middle East
ESO	Monosan Monofaze Elektrik Motorlari	Turkey	Middle East
ESS	Energy Saving Systems LTD.	Ukraine	Europe
ESY	EasyMeter GmbH
ETO	Sphere of economical technologies LTd	Russian Federation	Europe
EUE	E+E Electronic	Austria	Europe
EUR	Eurometers Ltd
EUS	Ebeling und Sohn GmbH & Co. KG	Germany	Europe
EVD	DREWAG NETZ GmbH	Germany	Europe
EVK	EV KUR ELEKTRIK	Turkey	Middle East
EVL	Geothermique Ltd	United Kingdom	Europe
EWA	EWATTCH	France	Europe
EWG	EWG DOO	Serbia	Europe
EWT	Elin Wasserwerkstechnik
EXS	exceeding solutions GmbH	Germany	Europe
EXT	LOTRIČ Metrology, Ltd.	Slovenia	Europe
EYE	Eco-eye Ltd	United Kingdom	Europe
EYT	Enerlyt Potsdam GmbH
FAE	Fae Technology Company	Brazil	South America
FAN	Fantini Cosmi S.p.A.	Italy	Europe
FAR	FARAB	Iran	Middle East
FAS	FAST S.P.A.	Italy	Europe
FED	Federal Elektrik	Turkey	Middle East
FEM	Fortune Electric	Taiwan	Asia
FFD	Fast Forward AG	Germany	Europe
FID	Fi Muhendislik Ltd.	Turkey	Middle East
FIM	Frodexim Ltd	Bulgaria	Europe
FIN	Finder GmbH	Germany	Europe
FIO	Pietro Fiorentini	Italy	Europe
FLA	FLASH ELECTRONICS (INDIA) PVT LTD	India	Asia
FLD	Fludia	France	Europe
FLE	XI‘AN FLAG ELECTRONIC CO. LTD	China	Asia
FLG	FLOMAG s.r.o.	Czech Republic	Europe
FLO	Flonidan A/S	Denmark	Europe
FLS	FLASH o.s	Turkey	Middle East
FLU	SHANDONG FEILONG INSTRUMENT CO.	China	Asia
FLW	Fluidwell bv	Netherlands	Europe
FLX	FLEXIM Flexible Industriemesstechnik GmbH	Germany	Europe
FMG	Flow Meter Group	Netherlands	Europe
FML	Siemens Measurements Ltd. (Formerly FML Ltd.)
FMM	F.IMM s.r.l.	Italy	Europe
FNX	Flownetix Ltd	United Kingdom	Europe
FPL	fifthplay NV	Belgium	Europe
FPR	F-Pribor LLC	Belarus	Europe
FRE	Frer Srl	Italy	Europe
FRU	OJSC NRPA FRUNZE	Russian Federation	Europe
FSP	Finmek Space S.p.A.	Italy	Europe
FST	FieldServer Technologies	United States of America	North America
FSY	FlowService	Poland	Europe
FTL	Tritschler GmbH	Germany	Europe
FUS	Fuccesso	China	Asia
FUT	first:utility	United Kingdom	Europe
FWS	FW Systeme GmbH	Germany	Europe
FZK	FUNZIN.Co. Ltd 	South Korea	Asia
GAV	Carlo Gavazzi Controls S.p.A.	Italy	Europe
GBJ	Grundfoss A/S
GCE	Genergica	Venezuela	South America
GCG	Goldcard Smart Group Co.,Ltd.	China	Asia
GDS	InnoSense AG	Switzerland	Europe
GEC	GEC Meters Ltd.
GEE	GE Energy	United Kingdom	Europe
GEL	Industrial Technology Research Institute	Taiwan	Asia
GEN	Goerlitz AG, Germany
GEO	Green Energy Options Limited	United Kingdom	Europe
GET	Genus Electrotech Ltd.	India	Asia
GEX	Global Evolution Lighting	Tunisia	Africa
GFM	GE Fuji Meter Co.,Ltd.	Japan	Asia
GIL	Genus Innovations Limited	India	Asia
GIN	Gineers Ltd.	Bulgaria	Europe
GIO	G. GIOANOLA S.r.l.	Italy	Europe
GLM	GETRALINE	France	Europe
GLX	Vietnam Electrical Equipment Joint Stock Corporation	Vietnam	Asia
GMC	GMC-I Messtechnik GmbH	Germany	Europe
GME	Global Metering Electronics	Netherlands	Europe
GMM	Gamma International Egypt	Egypt	Middle East
GMT	GMT GmbH	Germany	Europe
GNY	JiangSu GuoNeng Instrument Technology CO.,LTD	China	Asia
GOE	Genus Power Infrastructures Ltd.	India	Asia
GPM	Gram Power (India) Pvt. Ltd.	India	Asia
GRA	Grässlin GmbH	Germany	Europe
GRE	GE2, Green Energy Electronics	Portugal	Europe
GRI	Grinpal Energy Management	South Africa	Africa
GRS	Garderos GmbH	Germany	Europe
GRX	Gurux Ltd	Finland	Europe
GSP	Ingenieurbuero Gasperowicz
GSS	R&D Gran-System-S LLC	Belarus	Europe
GST	Shenzhen Golden Square Technology Co.,Ltd.	China	Asia
GTE	GREATech GmbH	Germany	Europe
GTM	G2 misuratori S.r.l.	Italy	Europe
GTR	Globaltronics for Electronics S.A.E.	Egypt	Middle East
GTS	GIGATRONIK Stuttgart GmbH	Germany	Europe
GUH	ShenZhen GuangNing  Industrial CO. Ltd.	China	Asia
GWF	Gas- u. Wassermesserfabrik	Switzerland	Europe
GWI	George Wilson Industries, Aldermans Green Industrial Estate	United Kingdom	Europe
HAG	Hager Electro GmbH	Germany	Europe
HBY	HENAN HUABIAO INSTRUMENT TECHNOLOGY Co., Ltd.	China	Asia
HCE	Hsiang Cheng Electric Corp	China	Asia
HDX	Beijing TianRuiXiangDe Measuring Technology Co.,Ltd.	China	Asia
HDY	Dalian hundao instrument Co. Ltd.	China	Asia
HEG	Hamburger Elektronik Gesellschaft
HEI	Hydro-Eco-Invest SP. Z O.O.	Poland	Europe
HEK	Hexing Technology Company Limited	Kenya	Africa
HEL	Heliowatt
HEM	Hokkaido Electric Meter Industry Co.	Japan	Asia
HER	Hermes Systems	Australia	Australia & Oceania
HEW	Honeywell Integrated Technology (China) Co., Ltd.	China	Asia
HEX	Shenzhen Hexcell Electronics Technology CO.,LTD	China	Asia
HFI	Nanjing Huiran Measurement&Control Technology Co. Ltd.	China	Asia
HFR	SAERI HEAT METERING TECHNOLOGY CO.,LTD.	China	Asia
HGM	HG meter a/s	Denmark	Europe
HIE	Shenzhen Holley South Electronics Technology Co., Ltd.	China	Asia
HIT	ABB Sp. z o.o.	Poland	Europe
HKK	Hokuriku Instrumentation Co. Inc.	Japan	Asia
HLY	Holley Metering Ltd
